Date : 2022-10-26 16:13:40
Directory : c:\Drive\Dev\CPP\opengl\OpenGL\src
Total : 222 files,  -54006 codes, -7806 comments, -8792 blanks, all -70604 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\moving_8dox.html                          | HTML       |        -68 |         -4 |         -3 |        -75 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\moving_guide.html                         | HTML       |       -361 |         -4 |         -3 |       -368 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\news.html                                 | HTML       |       -608 |         -4 |         -3 |       -615 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\news_8dox.html                            | HTML       |        -68 |         -4 |         -3 |        -75 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\pages.html                                | HTML       |        -86 |         -4 |         -3 |        -93 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\quick_8dox.html                           | HTML       |        -68 |         -4 |         -3 |        -75 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\quick_guide.html                          | HTML       |       -385 |         -4 |         -3 |       -392 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_0.html                         | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_0.js                           | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_1.html                         | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_1.js                           | JavaScript |         -8 |          0 |         -1 |         -9 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_10.html                        | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_10.js                          | JavaScript |         -6 |          0 |         -1 |         -7 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_11.html                        | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_11.js                          | JavaScript |         -7 |          0 |         -1 |         -8 |
