"filename", "language", "C++", "Makefile", "Markdown", "HTML", "CSS", "JSON", "ShaderLab", "XML", "JavaScript", "comment", "blank", "total"
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_3.html", "HTML", 0, 0, 0, -37, 0, 0, 0, 0, 0, 0, -1, -38
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_3.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, -1, -7
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_4.html", "HTML", 0, 0, 0, -37, 0, 0, 0, 0, 0, 0, -1, -38
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_4.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, -1, -7
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_5.html", "HTML", 0, 0, 0, -37, 0, 0, 0, 0, 0, 0, -1, -38
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_5.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_6.html", "HTML", 0, 0, 0, -37, 0, 0, 0, 0, 0, 0, -1, -38
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_6.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_7.html", "HTML", 0, 0, 0, -37, 0, 0, 0, 0, 0, 0, -1, -38
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_7.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_8.html", "HTML", 0, 0, 0, -37, 0, 0, 0, 0, 0, 0, -1, -38
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_8.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\functions_0.html", "HTML", 0, 0, 0, -37, 0, 0, 0, 0, 0, 0, -1, -38
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\functions_0.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -146, 0, -1, -147
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_0.html", "HTML", 0, 0, 0, -37, 0, 0, 0, 0, 0, 0, -1, -38
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_0.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_1.html", "HTML", 0, 0, 0, -37, 0, 0, 0, 0, 0, 0, -1, -38
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_1.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_2.html", "HTML", 0, 0, 0, -37, 0, 0, 0, 0, 0, 0, -1, -38
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_2.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, -1, -6
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_3.html", "HTML", 0, 0, 0, -37, 0, 0, 0, 0, 0, 0, -1, -38
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_3.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, -1, -6
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_4.html", "HTML", 0, 0, 0, -37, 0, 0, 0, 0, 0, 0, -1, -38
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_4.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, -1, -6
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_5.html", "HTML", 0, 0, 0, -37, 0, 0, 0, 0, 0, 0, -1, -38
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_5.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_6.html", "HTML", 0, 0, 0, -37, 0, 0, 0, 0, 0, 0, -1, -38
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_6.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, -1, -7
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_7.html", "HTML", 0, 0, 0, -37, 0, 0, 0, 0, 0, 0, -1, -38
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_7.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_8.html", "HTML", 0, 0, 0, -37, 0, 0, 0, 0, 0, 0, -1, -38
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_8.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_9.html", "HTML", 0, 0, 0, -37, 0, 0, 0, 0, 0, 0, -1, -38
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_9.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_a.html", "HTML", 0, 0, 0, -37, 0, 0, 0, 0, 0, 0, -1, -38
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_a.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
